year month birth  
   75 12  5374
   76  1  5376
   76  2  5522
   76  3  6221
   76  4  5852
   76  5  5839
   76  6  5760
   76  7  5613
   76  8  5381
   76  9  5346
   76 10  5166
   76 11  4598
   76 12  4593
   77  1  5053
   77  2  4889
   77  3  5748
   77  4  5412
   77  5  5589
   77  6  5321
   77  7  5232
   77  8  5254
   77  9  4960
   77 10  5050
   77 11  4766
   77 12  4604
   78  1  4944
   78  2  4695
   78  3  5670
   78  4  5635
   78  5  5964
   78  6  5413
   78  7  5470
   78  8  5264
   78  9  5155
   78 10  4936
   78 11  4482
   78 12  4408
   79  1  4747
   79  2  4643
   79  3  5550
   79  4  5521
   79  5  5445
   79  6  5274
   79  7  5032
   79  8  5037
   79  9  4842
   79 10  4796
   79 11  4359
   79 12  4218
   80  1  4738
   80  2  4590
   80  3  5233
   80  4  5345
   80  5  5190
   80  6  4919
   80  7  5076
   80  8  4805
   80  9  4685
   80 10  4461
   80 11  4124
   80 12  4127
   81  1  4200
   81  2  4087
   81  3  4595
   81  4  4765
   81  5  4745
   81  6  4725
   81  7  4790
   81  8  4545
   81  9  4616
   81 10  4155
   81 11  3870
   81 12  3996
   82  1  4368
   82  2  4067
   82  3  4732
   82  4  4640
   82  5  4876
   82  6  4600
   82  7  4606
   82  8  4405
   82  9  4334
   82 10  4239
   82 11  3878
   82 12  3913
   83  1  3863
   83  2  3864
   83  3  4597
   83  4  4577
   83  5  4363
   83  6  4521
   83  7  4474
   83  8  4493
   83  9  4342
   83 10  4188
   83 11  3816
   83 12  3724
   84  1  3974
   84  2  4009
   84  3  4653
   84  4  4570
   84  5  4623
   84  6  4490
   84  7  4545
   84  8  4546
   84  9  4340
   84 10  4247
   84 11  4027
   84 12  3776
   85  1  4060
   85  2  3952
   85  3  4662
   85  4  4929
   85  5  4834
   85  6  4604
   85  7  4826
   85  8  4754
   85  9  4631
   85 10  4422
   85 11  4037
   85 12  4038
   86  1  4080
   86  2  4301
   86  3  4751
   86  4  5030
   86  5  4926
   86  6  4692
   86  7  4993
   86  8  4721
   86  9  4892
   86 10  4533
   86 11  4124
   86 12  4269
   87  1  4367
   87  2  4058
   87  3  4940
   87  4  4998
   87  5  5000
   87  6  5112
   87  7  5100
   87  8  4927
   87  9  4660
   87 10  4438
